PONDERADOR	A1_COD	D1	D2_COD	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	SEXO	E2	E3	E4	E5	PROV	CANT_COD	F1	F2	F3	F4	F5	F6	F7	G1	G2	G3	G4	G5_COD	G6	G7	G8	G9	G10_COD	G11_COD	edadgrupo	educagrupo
,399	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	53	1	5	1	7	7-01 LIMON	1	1	1	1	2	2	1	1	5	1	99999	99999	99999	1	1	2	10	99999	3	3
1,821	3	1	99999	1	99999	99999	99999	99999	1	1	1	2	2	2	46	1	2	1	1	1-18 CURRIDABAT	1	1	2	1	2	2	1	1	1	1	99999	99999	99999	1	1	1	10	99999	2	1
,389	6	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	1	38	1	5	1	1	1-09 SANTA ANA	2	1	1	1	1	1	1	1	9	9	1	99999	99999	2	1	1	10	99999	2	3
,424	3	1	99999	2	1	2	2	2	1	1	2	2	2	2	48	1	5	1	4	4-01 HEREDIA	2	1	1	1	1	1	1	2	99999	99999	99999	99999	99999	1	1	1	10	99999	2	3
,424	6	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	34	1	5	1	2	2-03 GRECIA	2	1	1	1	2	2	1	1	5	1	99999	99999	99999	2	1	2	10	99999	2	3
,399	7	2	9	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	68	1	5	5	1	1-15 MONTES DE OCA	1	1	1	1	2	1	1	1	4	2	1	99999	99999	1	1	2	10	99999	3	3
,505	7	2	3	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	29	1	5	1	1	1-01 SAN JOSE	2	1	1	1	1	1	2	1	5	2	1	99999	99999	2	2	1	10	99999	1	3
,424	9	1	99999	99999	2	2	2	2	1	1	1	1	9	2	30	1	5	6	1	1-19 PEREZ ZELEDON	2	1	2	1	2	2	2	2	99999	99999	99999	99999	99999	2	1	1	10	99999	2	3
,393	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	2	65	1	5	5	1	1-08 GOICOECHEA	1	1	1	1	2	1	1	1	3	1	99999	99999	99999	2	1	2	10	99999	3	3
,424	99	1	99999	2	1	1	99999	1	1	1	1	2	2	2	42	1	5	1	4	4-01 HEREDIA	1	1	1	1	1	2	1	1	6	2	2	4	99999	1	1	99999	10	99999	2	3
1,643	8	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	71	1	2	1	2	2-01 ALAJUELA	1	1	1	2	2	2	1	2	99999	99999	99999	99999	99999	1	1	2	10	99999	3	1
,399	9	1	99999	2	2	1	2	2	2	99999	99999	99999	4	1	59	1	5	1	1	1-08 GOICOECHEA	2	1	2	2	2	2	2	1	5	2	2	9	2	1	1	1	10	99999	3	3
,399	3	2	6	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	70	1	5	5	3	3-05 TURRIALBA	2	1	2	2	2	2	2	2	99999	99999	99999	99999	99999	1	1	1	10	99999	3	3
1,006	7	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	57	1	3	1	4	4-04 SANTA BARBARA	1	1	1	1	2	2	1	1	6	2	2	4	99999	1	1	1	10	99999	3	2
,389	6	1	99999	1	1	1	2	1	1	1	1	2	1	1	35	1	5	1	6	6-01 PUNTARENAS	2	1	1	1	2	1	1	1	3	1	99999	99999	99999	2	1	1	10	99999	2	3
,881	3	1	99999	2	1	99999	2	2	1	2	1	2	3	1	47	1	4	1	2	2-03 GRECIA	1	1	1	1	2	2	1	1	5	2	2	8	99999	1	1	1	10	99999	2	2
,393	88	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	2	61	1	5	5	2	2-08 POAS	1	1	1	1	1	2	1	1	3	2	1	99999	99999	1	1	1	10	99999	3	3
,389	1	1	99999	2	1	2	2	1	2	99999	99999	99999	2	1	31	1	5	1	3	3-06 ALVARADO	2	1	2	1	1	1	2	2	99999	99999	99999	99999	99999	2	1	1	10	99999	2	3
,505	2	1	99999	2	1	1	2	2	1	2	1	2	2	2	28	1	5	6	1	1-04 PURISCAL	1	1	2	2	2	2	2	1	4	1	99999	99999	99999	2	1	2	10	99999	1	3
,393	7	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	2	64	1	5	4	2	2-06 NARANJO	1	1	2	1	2	2	1	2	99999	99999	99999	99999	99999	1	1	2	10	99999	3	3
,393	1	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	1	2	70	1	5	4	2	2-11 ALFARO RUIZ	1	1	1	2	2	1	1	2	99999	99999	99999	99999	99999	1	1	2	10	99999	3	3
1,643	6	2	6	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	2	50	1	2	4	3	3-05 TURRIALBA	1	1	2	2	2	2	1	1	9	9	2	4	99999	2	1	1	10	99999	3	1
1,821	6	2	6	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	45	1	2	4	3	3-05 TURRIALBA	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	2	1	2	10	99999	2	1
,424	6	1	99999	2	1	1	2	2	2	99999	99999	99999	4	2	35	1	5	1	1	1-06 ASERRI	2	1	2	1	2	2	2	1	4	1	99999	99999	99999	2	2	1	10	99999	2	3
1,821	9	1	99999	2	2	2	1	2	2	99999	99999	99999	4	2	37	1	2	1	2	2-03 GRECIA	2	1	2	2	2	2	1	2	99999	99999	99999	99999	99999	2	1	1	10	99999	2	1
,505	2	1	99999	2	1	2	2	99999	2	99999	99999	99999	2	2	21	1	5	3	2	2-03 GRECIA	2	1	1	1	2	2	1	1	4	1	99999	99999	99999	2	1	1	10	99999	1	3
,393	6	1	99999	2	1	1	1	2	2	99999	99999	99999	4	2	52	1	5	1	1	1-01 SAN JOSE	1	1	1	1	2	2	1	1	5	1	99999	99999	99999	2	1	1	10	99999	3	3
1,095	2	1	99999	2	1	2	1	2	1	2	2	2	2	2	63	1	3	4	6	6-08 COTO BRUS	2	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	10	99999	3	2
2,124	9	2	2	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	60	1	1	6	3	3-03 LA UNION	2	1	2	1	2	2	2	2	99999	99999	99999	99999	99999	1	1	1	10	99999	3	1
2,124	3	1	99999	2	1	1	2	1	2	99999	99999	99999	1	1	52	1	2	1	3	3-05 TURRIALBA	1	1	1	2	2	2	1	1	1	1	99999	99999	99999	1	1	1	10	99999	3	1
1,095	1	1	99999	1	2	1	1	2	1	1	2	2	3	2	57	1	4	4	2	2-01 ALAJUELA	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	2	1	2	11	99999	3	2
,608	1	1	99999	1	99999	1	2	99999	99999	99999	99999	99999	4	1	21	1	5	3	1	1-18 CURRIDABAT	1	1	1	1	1	1	1	2	99999	99999	99999	99999	99999	2	1	2	11	99999	1	3
,389	99	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	41	1	5	1	1	1-03 DESAMPARADOS	2	1	1	1	1	2	1	1	4	1	99999	99999	99999	2	1	2	11	99999	2	3
,424	3	1	99999	1	1	1	1	2	2	99999	99999	99999	3	2	49	1	5	1	4	4-01 HEREDIA	2	1	1	1	2	2	2	1	1	1	99999	99999	99999	1	1	1	11	99999	2	3
1,821	2	1	99999	2	1	2	1	1	1	1	1	2	2	2	30	1	2	1	2	2-10 SAN CARLOS	1	1	2	2	2	2	2	1	1	1	99999	99999	99999	2	1	2	11	99999	2	1
,393	3	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	61	1	5	5	2	2-02 SAN RAMON	1	1	1	1	2	2	1	1	5	9	9	4	99999	2	1	2	11	99999	3	3
1,821	3	1	99999	2	1	1	2	2	2	99999	99999	99999	5	2	34	1	2	6	2	2-03 GRECIA	2	1	2	2	2	2	1	1	1	1	99999	99999	99999	2	1	2	11	99999	2	1
,393	2	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	53	1	5	5	4	4-01 HEREDIA	1	1	1	1	2	2	1	1	4	1	99999	99999	99999	9	1	2	11	99999	3	3
,424	2	1	99999	1	1	1	1	1	1	1	1	2	2	2	32	1	5	4	6	6-06 AGUIRRE	1	1	2	2	2	2	1	2	99999	99999	99999	99999	99999	2	1	1	11	99999	2	3
,393	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	62	1	5	5	2	2-01 ALAJUELA	2	1	2	1	2	2	1	1	5	1	99999	99999	99999	2	1	2	11	99999	3	3
1,593	3	1	99999	2	2	2	99999	1	1	1	1	2	2	1	18	1	4	2	7	7-02 POCOCI	2	1	1	2	2	2	1	2	99999	99999	99999	99999	99999	2	1	2	11	99999	1	2
,389	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	1	35	1	5	1	1	1-13 TIBAS	1	1	1	1	1	1	1	1	1	1	99999	99999	99999	2	1	2	11	99999	2	3
,399	2	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	5	1	65	1	5	5	1	1-03 DESAMPARADOS	1	1	1	1	2	2	1	1	3	1	99999	99999	99999	1	1	1	11	99999	3	3
1,079	2	1	99999	2	1	1	1	2	2	99999	99999	99999	3	2	31	1	3	8	1	1-02 ESCAZU	1	1	2	1	1	2	1	1	5	1	99999	99999	99999	1	1	1	11	99999	2	2
,424	2	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	38	1	5	1	3	3-03 LA UNION	2	1	1	1	1	2	1	1	4	1	99999	99999	99999	1	2	1	12	99999	2	3
,505	1	1	99999	2	1	1	2	1	2	99999	99999	99999	2	2	29	1	5	1	1	1-01 SAN JOSE	1	1	2	1	2	2	1	1	4	2	1	99999	99999	2	2	1	12	99999	1	3
,393	9	1	99999	2	1	2	2	1	1	2	1	2	1	2	79	1	5	5	2	2-02 SAN RAMON	2	1	2	1	2	1	1	2	99999	99999	99999	99999	99999	2	1	2	12	99999	3	3
,399	7	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	54	1	5	1	4	4-03 SANTO DOMINGO	1	1	1	1	1	1	1	1	4	2	1	99999	99999	1	1	1	12	99999	3	3
,608	6	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	1	23	1	5	1	2	2-01 ALAJUELA	1	1	1	1	2	2	1	1	3	1	99999	99999	99999	2	1	1	12	99999	1	3
1,079	3	1	99999	2	1	1	1	1	2	99999	99999	99999	4	2	49	1	3	1	1	1-08 GOICOECHEA	1	1	1	1	2	2	2	2	99999	99999	99999	99999	99999	1	1	2	12	99999	2	2
,424	3	2	2	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	40	1	5	1	3	3-01 CARTAGO	1	1	2	1	1	2	1	1	6	1	99999	99999	99999	2	1	1	12	99999	2	3
,424	2	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	2	40	1	5	1	2	2-07 PALMARES	1	1	1	1	1	2	1	1	4	1	99999	99999	99999	1	1	1	12	99999	2	3
1	88	2	5	99999	99999	99999	99999	99999	99999	99999	99999	99999	5	1	58	1	8	1	1	1-08 GOICOECHEA	1	1	1	1	2	2	2	2	99999	99999	99999	99999	99999	1	1	1	12	99999	3	8
1	1	1	99999	2	1	2	99999	2	2	99999	99999	99999	2	2	99999	9	9	9	9	NS/NR	9	9	9	9	9	9	9	2	99999	99999	99999	99999	99999	1	2	1	12	99999	99999	9
,393	5	1	99999	1	2	1	2	1	1	1	1	2	1	2	53	1	5	1	3	3-03 LA UNION	2	1	2	1	2	2	1	1	9	9	9	9	9	2	1	1	12	99999	3	3
,424	6	2	2	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	34	1	5	1	2	2-02 SAN RAMON	1	1	1	1	2	2	1	1	5	1	99999	99999	99999	1	2	1	12	99999	2	3
,608	9	2	6	99999	99999	99999	99999	99999	99999	99999	99999	99999	1	1	25	1	5	3	6	6-03 BUENOS AIRES	2	1	1	1	2	2	1	1	4	1	99999	99999	99999	2	1	1	12	99999	1	3
,424	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	42	1	5	1	1	1-15 MONTES DE OCA	1	1	1	1	1	1	1	1	5	2	1	99999	99999	2	1	1	12	99999	2	3
,393	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	52	1	5	1	1	1-13 TIBAS	1	1	1	1	2	2	1	1	5	2	1	99999	99999	1	1	1	12	99999	3	3
1,643	6	2	2	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	2	62	1	2	4	3	3-07 OREAMUNO	2	1	1	1	2	2	2	2	99999	99999	99999	99999	99999	2	1	2	12	99999	3	1
,389	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	1	45	1	5	1	4	4-06 SAN ISIDRO	1	1	1	1	1	1	1	1	5	1	99999	99999	99999	2	1	1	12	99999	2	3
1,079	9	1	99999	2	1	1	2	2	1	1	1	2	2	2	41	1	3	1	6	6-03 BUENOS AIRES	2	1	2	2	2	2	1	1	5	2	1	99999	99999	1	1	2	2	99999	2	2
1,006	3	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	82	1	4	5	1	1-03 DESAMPARADOS	2	1	1	2	2	2	2	1	5	1	99999	99999	99999	1	1	1	2	99999	3	2
,424	2	1	99999	1	2	1	2	1	1	1	2	2	3	2	43	1	5	1	2	2-01 ALAJUELA	2	1	1	1	2	2	1	1	4	1	99999	99999	99999	1	1	1	2	99999	2	3
1,079	9	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	30	1	4	2	3	3-03 LA UNION	2	1	1	9	1	2	2	2	99999	99999	99999	99999	99999	1	1	1	3	99999	2	2
,393	3	1	99999	2	1	2	2	2	2	99999	99999	99999	4	2	59	1	5	1	1	1-11 CORONADO	1	1	1	1	2	1	1	1	3	2	1	99999	99999	2	1	1	4	99999	3	3
,424	3	1	99999	2	1	1	1	1	1	2	1	2	2	2	31	1	5	3	6	6-01 PUNTARENAS	2	1	1	2	2	2	1	2	99999	99999	99999	99999	99999	2	1	2	4	99999	2	3
,608	6	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	23	1	5	3	1	1-05 TARRAZU	2	1	1	1	1	2	1	1	1	1	99999	99999	99999	2	1	1	4	99999	1	3
2,438	1	1	99999	2	1	2	2	2	1	1	1	1	2	2	19	1	3	2	5	5-10 LA CRUZ	2	1	2	2	2	1	1	2	99999	99999	99999	99999	99999	2	1	1	4	99999	1	2
2,503	99	1	99999	2	1	2	99999	1	1	1	2	2	2	1	47	1	2	1	2	2-06 NARANJO	1	1	1	1	2	2	1	1	5	2	2	4	99999	2	1	1	4	99999	2	1
,393	6	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	2	52	1	5	1	4	4-05 SAN RAFAEL	1	1	1	1	2	1	1	1	3	1	99999	99999	99999	1	1	1	4	99999	3	3
,505	3	1	99999	2	2	2	2	1	2	99999	99999	99999	4	2	29	1	5	1	4	4-07 BELEN	1	1	2	1	2	2	1	1	1	1	99999	99999	99999	2	2	1	4	99999	1	3
,393	5	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	53	1	5	1	4	4-06 SAN ISIDRO	1	1	1	1	1	2	1	1	4	1	99999	99999	99999	1	1	2	4	99999	3	3
,424	9	1	99999	2	1	2	2	2	2	99999	99999	99999	5	2	41	1	5	1	3	3-03 LA UNION	1	1	1	1	1	2	1	2	99999	99999	99999	99999	99999	1	2	2	4	99999	2	3
,424	6	1	99999	2	1	2	2	1	1	1	2	2	4	2	38	1	5	4	4	4-03 SANTO DOMINGO	2	1	1	1	1	2	1	1	1	1	99999	99999	99999	2	1	1	4	99999	2	3
1,643	7	1	99999	2	1	1	2	1	1	1	2	2	4	2	71	1	2	5	1	1-10 ALAJUELITA	1	2	2	2	2	2	1	1	1	1	99999	99999	99999	1	1	1	4	99999	3	1
1,593	1	1	99999	1	1	1	1	2	1	1	2	2	2	1	21	1	3	3	4	4-03 SANTO DOMINGO	2	1	2	1	2	2	2	1	9	2	2	8	99999	2	1	1	4	99999	1	2
,393	2	2	6	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	2	50	1	5	1	6	6-09 PARRITA	2	1	1	1	2	2	2	1	5	1	99999	99999	99999	2	1	2	4	99999	3	3
,389	3	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	38	1	5	3	1	1-18 CURRIDABAT	1	1	1	1	1	2	1	1	5	1	99999	99999	99999	2	2	1	4	99999	2	3
,505	5	1	99999	2	1	2	2	2	1	1	1	2	2	2	23	1	5	2	3	3-03 LA UNION	2	1	1	1	1	2	1	1	3	1	99999	99999	99999	2	2	1	4	99999	1	3
,389	2	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	44	1	5	1	1	1-13 TIBAS	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	1	2	1	4	99999	2	3
2,438	6	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	23	1	4	3	3	3-03 LA UNION	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	2	2	1	4	99999	1	2
,608	3	1	99999	1	1	99999	99999	1	1	1	1	2	2	1	23	1	5	2	4	4-01 HEREDIA	1	1	2	1	2	1	2	1	5	2	1	99999	99999	2	1	1	4	99999	1	3
1,079	2	2	2	99999	99999	99999	99999	99999	99999	99999	99999	99999	1	2	31	1	4	1	1	1-15 MONTES DE OCA	2	1	2	1	2	2	2	2	99999	99999	99999	99999	99999	2	1	1	4	99999	2	2
,389	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	1	36	1	5	1	1	1-03 DESAMPARADOS	1	1	2	1	2	2	1	1	5	1	99999	99999	99999	2	1	1	4	99999	2	3
,505	2	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	23	1	5	3	2	2-01 ALAJUELA	2	1	1	1	2	2	1	1	3	1	99999	99999	99999	2	1	2	4	99999	1	3
1,095	3	2	3	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	51	1	3	4	3	3-08 EL GUARCO	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	1	2	1	4	99999	3	2
2,124	8	2	3	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	1	62	1	2	6	6	6-09 PARRITA	2	1	2	2	2	2	1	2	99999	99999	99999	99999	99999	1	2	2	4	99999	3	1
,608	2	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	19	1	5	2	1	1-09 SANTA ANA	1	1	1	1	1	2	1	2	99999	99999	99999	99999	99999	1	2	1	4	99999	1	3
,881	2	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	1	49	1	4	1	3	3-01 CARTAGO	1	1	1	1	1	1	1	2	99999	99999	99999	99999	99999	2	1	1	4	99999	2	2
1,821	3	1	99999	2	1	1	2	1	2	99999	99999	99999	5	2	49	1	2	1	6	6-01 PUNTARENAS	2	1	2	2	2	2	1	1	5	2	2	8	99999	1	2	2	4	99999	2	1
,424	2	2	8	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	47	1	5	1	1	1-01 SAN JOSE	1	1	1	2	2	2	2	2	99999	99999	99999	99999	99999	2	2	1	4	99999	2	3
,505	1	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	22	1	5	2	1	1-01 SAN JOSE	1	1	2	1	2	2	1	2	99999	99999	99999	99999	99999	2	1	2	4	99999	1	3
,393	2	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	60	1	5	4	4	4-03 SANTO DOMINGO	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	4	99999	3	3
1,079	5	1	99999	2	2	1	2	2	2	99999	99999	99999	4	2	37	1	3	1	3	3-03 LA UNION	2	1	1	1	2	2	1	1	1	1	99999	99999	99999	1	1	1	4	99999	2	2
,505	2	2	2	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	24	1	5	1	4	NS/NR	2	1	1	2	1	2	2	1	1	1	99999	99999	99999	2	1	2	5	99999	1	3
,505	5	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	2	22	1	5	3	2	2-01 ALAJUELA	1	1	1	1	1	1	1	2	99999	99999	99999	99999	99999	2	2	1	6	99999	1	3
,424	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	41	1	5	4	1	1-01 SAN JOSE	1	1	1	1	2	2	1	1	4	2	1	99999	99999	2	2	1	6	99999	2	3
,881	6	2	3	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	1	30	1	3	1	3	3-03 LA UNION	2	1	1	2	2	2	2	2	99999	99999	99999	99999	99999	2	2	1	6	99999	2	2
,505	9	2	3	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	28	1	5	1	4	4-02 BARVA	1	1	1	1	1	2	1	2	99999	99999	99999	99999	99999	2	2	1	6	99999	1	3
,389	6	2	2	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	1	39	1	5	1	4	4-07 BELEN	1	1	1	1	2	1	1	1	4	1	99999	99999	99999	2	2	1	6	99999	2	3
1,079	2	1	99999	2	1	1	2	2	2	99999	99999	99999	5	2	49	1	4	1	1	1-01 SAN JOSE	1	1	1	1	1	2	1	1	5	1	99999	99999	99999	1	2	1	6	99999	2	2
,424	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	35	1	5	1	4	4-09 SAN PABLO	2	1	1	2	2	2	1	1	3	1	99999	99999	99999	2	1	1	6	99999	2	3
1,095	8	1	99999	2	1	1	2	1	1	1	1	2	2	2	53	1	3	4	3	3-05 TURRIALBA	2	1	2	2	2	2	2	2	99999	99999	99999	99999	99999	1	1	2	6	99999	3	2
,608	3	2	3	99999	99999	99999	99999	99999	99999	99999	99999	99999	5	1	27	1	5	3	4	4-01 HEREDIA	2	1	1	2	2	2	2	2	99999	99999	99999	99999	99999	2	1	1	6	99999	1	3
,505	6	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	29	1	5	1	1	1-03 DESAMPARADOS	1	1	1	1	2	1	1	1	5	1	99999	99999	99999	1	1	1	6	99999	1	3
,424	2	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	36	1	5	4	1	1-11 CORONADO	1	1	1	1	2	2	1	1	6	2	2	4	99999	1	2	2	6	99999	2	3
,389	2	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	35	1	5	1	1	1-01 SAN JOSE	1	1	1	1	1	2	1	1	3	1	99999	99999	99999	2	2	1	6	99999	2	3
1	6	1	99999	1	2	1	2	1	1	1	1	2	1	1	34	1	9	9	9	NS/NR	9	1	9	9	9	9	9	2	99999	99999	99999	99999	99999	2	2	1	6	99999	2	9
,608	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	1	24	1	5	6	3	3-01 CARTAGO	1	1	1	1	1	2	1	2	99999	99999	99999	99999	99999	2	2	1	6	99999	1	3
1,593	6	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	1	18	1	4	6	3	3-01 CARTAGO	1	1	2	1	2	2	1	2	99999	99999	99999	99999	99999	2	2	1	6	99999	1	2
,608	1	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	5	1	29	1	5	1	7	7-02 POCOCI	2	1	1	1	2	2	1	1	5	2	1	99999	99999	2	1	1	6	99999	1	3
,505	1	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	29	1	5	3	1	1-11 CORONADO	1	1	2	1	1	2	1	2	99999	99999	99999	99999	99999	2	2	1	6	99999	1	3
,389	1	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	1	41	1	5	1	3	3-07 OREAMUNO	2	1	1	1	1	2	1	1	3	1	99999	99999	99999	2	2	1	6	99999	2	3
,424	5	1	99999	2	1	1	2	2	2	99999	99999	99999	2	2	34	1	5	1	1	1-06 ASERRI	2	1	2	1	2	2	1	1	4	1	99999	99999	99999	2	1	1	6	99999	2	3
,424	9	2	6	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	37	1	5	1	1	1-15 MONTES DE OCA	2	1	2	1	2	2	2	1	4	1	99999	99999	99999	2	1	1	6	99999	2	3
4,193	9	1	99999	2	1	2	99999	99999	1	1	99999	2	2	2	23	1	2	4	1	1-19 PEREZ ZELEDON	2	1	2	2	2	2	2	2	99999	99999	99999	99999	99999	1	1	1	6	99999	1	1
,393	9	2	9	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	2	50	1	5	4	4	4-01 HEREDIA	2	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	6	99999	3	3
,424	2	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	33	1	5	1	1	1-03 DESAMPARADOS	1	1	1	1	2	1	1	1	5	2	1	99999	99999	1	1	1	6	99999	2	3
,881	5	1	99999	1	2	1	2	1	1	1	2	2	2	1	30	1	3	1	1	1-20 LEON CORTES	2	1	1	2	2	2	1	2	99999	99999	99999	99999	99999	1	2	1	6	99999	2	2
,505	1	1	99999	2	1	2	2	1	1	1	1	2	1	2	26	1	5	2	2	2-09 OROTINA	1	1	2	1	1	2	1	2	99999	99999	99999	99999	99999	2	1	1	6	99999	1	3
,881	3	1	99999	2	1	1	1	2	2	99999	99999	99999	4	1	40	1	3	1	6	6-06 AGUIRRE	2	1	2	1	2	2	1	1	5	1	99999	99999	99999	2	2	1	6	99999	2	2
2,438	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	18	1	4	2	2	2-07 PALMARES	2	1	2	2	2	2	1	9	99999	99999	99999	99999	99999	1	1	1	6	99999	1	2
,881	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	41	1	4	1	1	1-09 SANTA ANA	2	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	1	2	2	6	99999	2	2
1,593	2	1	99999	2	1	1	2	1	2	99999	99999	99999	5	1	21	1	4	3	6	6-11 GARABITO	2	1	1	1	1	1	2	2	99999	99999	99999	99999	99999	2	1	2	6	99999	1	2
1,593	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	20	1	3	3	3	3-08 EL GUARCO	2	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	2	1	1	6	99999	1	2
,424	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	40	1	5	1	2	2-06 NARANJO	1	1	1	1	1	1	1	2	99999	99999	99999	99999	99999	1	2	1	6	99999	2	3
,424	6	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	30	1	5	3	2	2-01 ALAJUELA	2	1	1	1	1	2	1	2	99999	99999	99999	99999	99999	2	1	1	6	99999	2	3
,389	3	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	38	1	5	1	1	1-11 CORONADO	1	1	1	1	2	2	1	1	4	1	99999	99999	99999	2	2	1	6	99999	2	3
,608	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	1	26	1	5	1	2	2-09 OROTINA	1	1	1	1	2	2	1	1	3	1	99999	99999	99999	2	2	1	6	99999	1	3
,424	2	2	2	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	40	1	5	1	1	1-01 SAN JOSE	1	1	1	1	2	2	1	1	1	1	99999	99999	99999	2	2	1	6	99999	2	3
,424	9	1	99999	2	1	1	2	2	2	99999	99999	99999	3	2	49	1	5	1	1	1-03 DESAMPARADOS	1	1	2	1	1	1	1	1	3	1	99999	99999	99999	2	2	1	6	99999	2	3
1,006	6	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	57	1	4	1	1	1-07 MORA	1	1	1	1	2	1	1	2	99999	99999	99999	99999	99999	2	1	1	6	99999	3	2
